student_id,level,attendance_rate,num_quizzes,quiz_avg,assignment_avg,mid_sem_score,forum_participation,study_time_hours,dashboard_time_hours,current_gpa,predicted_gpa,target_gpa,final_gpa,risk_category,recommended_action
S00027,100,77.47,8,60.95,86.33,72.56,6,29.9,2.22,2.81,2.45,2.22,2.53,Average,"Maintain steady progress, focus on weak areas"
S00028,300,99.76,7,85.56,95.23,83.76,2,10.78,15.31,3.45,2.65,2.88,2.83,Average,"Maintain steady progress, focus on weak areas"
S00029,300,70.24,8,51.86,70.29,56.97,7,22.99,3.15,2.52,2.15,2.21,1.85,At Risk,Meet academic advisor and review study plan
S00030,100,89.45,7,72.98,64.29,56.78,6,15.58,17.01,1.38,2.2,2.44,2.03,Average,"Maintain steady progress, focus on weak areas"
S00031,300,91.42,9,44.35,72.51,58.13,3,17.7,0.0,3.29,2.57,2.65,2.44,Average,"Maintain steady progress, focus on weak areas"
S00032,100,77.4,7,73.59,81.35,53.49,5,17.09,3.19,2.41,2.29,2.3,2.32,Average,"Maintain steady progress, focus on weak areas"
S00033,100,74.76,10,72.55,74.83,63.76,3,8.59,2.36,2.49,2.12,2.13,2.07,Average,"Maintain steady progress, focus on weak areas"
S00034,400,95.17,12,98.62,63.5,64.88,9,21.47,14.31,2.97,2.53,3.11,2.27,Average,"Maintain steady progress, focus on weak areas"
S00035,400,75.09,5,60.78,88.97,72.5,5,18.57,15.76,2.43,2.73,2.73,2.69,Average,"Maintain steady progress, focus on weak areas"
S00036,400,78.93,15,67.46,72.95,83.46,6,8.23,4.03,2.76,2.48,2.29,2.44,Average,"Maintain steady progress, focus on weak areas"
S00037,200,93.87,12,66.4,82.26,75.54,7,1.6,13.72,2.85,2.29,2.43,2.39,Average,"Maintain steady progress, focus on weak areas"
S00038,100,85.35,6,95.22,82.73,48.54,4,14.28,13.53,2.48,2.13,2.18,2.18,Average,"Maintain steady progress, focus on weak areas"
S00039,300,67.03,11,61.36,72.83,82.06,9,16.67,3.77,2.96,2.24,2.12,2.09,Average,"Maintain steady progress, focus on weak areas"
S00040,200,100.0,9,73.38,82.47,53.33,7,13.02,8.64,2.69,2.39,2.43,2.38,Average,"Maintain steady progress, focus on weak areas"
S00041,100,79.7,10,65.6,95.78,38.52,2,12.78,11.73,2.76,2.06,1.91,2.13,Average,"Maintain steady progress, focus on weak areas"
S00042,200,80.97,11,67.72,85.97,82.36,4,14.73,8.38,2.52,2.05,2.3,2.06,Average,"Maintain steady progress, focus on weak areas"
S00043,100,87.56,13,70.17,55.57,85.16,4,21.39,10.79,2.5,2.68,3.01,2.52,Average,"Maintain steady progress, focus on weak areas"
S00044,400,91.25,12,86.47,72.89,90.45,3,10.8,7.35,3.67,2.43,2.73,2.47,Average,"Maintain steady progress, focus on weak areas"
S00045,200,100.0,10,91.81,66.7,74.07,5,9.06,15.19,2.98,2.02,2.27,2.35,Average,"Maintain steady progress, focus on weak areas"
S00046,300,68.4,7,49.18,89.44,92.13,6,20.66,9.74,2.91,2.34,2.44,2.25,Average,"Maintain steady progress, focus on weak areas"
S00047,200,93.26,8,81.72,74.97,45.74,5,7.15,5.28,3.26,1.94,1.8,2.08,Average,"Maintain steady progress, focus on weak areas"
S00048,300,92.43,7,88.82,73.21,64.58,5,0.05,9.94,2.75,1.92,2.1,2.11,Average,"Maintain steady progress, focus on weak areas"
S00049,300,83.63,11,75.1,57.01,83.65,6,16.68,13.58,2.89,2.69,2.61,2.54,Average,"Maintain steady progress, focus on weak areas"
S00050,100,92.87,10,87.76,100.0,69.92,5,25.85,17.61,3.39,2.96,2.85,2.8,Average,"Maintain steady progress, focus on weak areas"
S00051,400,94.34,8,51.27,76.3,77.54,4,0.0,7.1,2.67,2.33,2.56,2.22,Average,"Maintain steady progress, focus on weak areas"
S00052,400,71.18,17,77.62,73.18,77.18,5,8.66,16.5,3.15,2.22,2.37,2.25,Average,"Maintain steady progress, focus on weak areas"
S00053,400,100.0,10,88.73,56.85,83.4,7,19.07,11.41,2.6,2.61,2.7,2.62,Average,"Maintain steady progress, focus on weak areas"
S00054,400,69.41,9,60.55,77.1,98.99,6,22.39,7.25,3.48,3.0,3.17,2.66,Average,"Maintain steady progress, focus on weak areas"
S00055,300,73.65,12,50.68,74.33,77.42,11,8.69,10.17,2.9,2.07,2.28,2.14,Average,"Maintain steady progress, focus on weak areas"
S00056,400,82.38,8,87.13,76.54,79.2,2,10.31,10.78,1.89,2.06,2.14,2.15,Average,"Maintain steady progress, focus on weak areas"
S00057,100,100.0,11,63.66,58.3,56.36,1,21.67,3.51,3.45,1.92,1.93,2.25,Average,"Maintain steady progress, focus on weak areas"
S00058,100,81.92,10,61.33,55.0,63.4,4,20.47,3.3,3.09,1.81,1.92,2.04,Average,"Maintain steady progress, focus on weak areas"
S00059,100,84.68,9,41.79,95.32,72.44,10,0.0,11.96,4.0,2.75,3.01,2.76,Average,"Maintain steady progress, focus on weak areas"
S00060,200,99.32,9,62.3,60.97,67.67,6,16.51,7.03,2.38,2.41,2.87,2.33,Average,"Maintain steady progress, focus on weak areas"
S00061,200,82.0,14,59.52,81.29,52.65,8,22.07,7.83,3.04,1.98,2.36,2.0,At Risk,Meet academic advisor and review study plan
S00062,200,73.22,7,42.96,71.63,85.01,4,10.52,8.55,2.37,1.78,1.75,1.96,At Risk,Meet academic advisor and review study plan
S00063,400,80.83,10,61.22,86.94,62.39,5,12.42,10.85,2.53,2.07,2.4,2.05,Average,"Maintain steady progress, focus on weak areas"
S00064,200,98.71,11,87.78,77.29,69.67,5,19.33,13.61,3.01,2.47,2.35,2.5,Average,"Maintain steady progress, focus on weak areas"
S00065,200,85.71,11,75.13,76.1,51.18,5,5.08,2.24,3.48,2.29,2.44,2.42,Average,"Maintain steady progress, focus on weak areas"
S00066,300,100.0,15,45.44,76.72,79.96,4,24.61,22.07,2.42,2.59,2.74,2.4,Average,"Maintain steady progress, focus on weak areas"
S00067,100,92.38,9,75.85,65.75,66.69,3,11.54,7.15,3.13,2.58,2.49,2.29,Average,"Maintain steady progress, focus on weak areas"
S00068,400,78.55,12,80.9,61.07,78.98,2,12.6,16.47,3.04,2.42,2.28,2.32,Average,"Maintain steady progress, focus on weak areas"
S00069,100,85.51,6,71.56,72.07,28.96,3,16.77,13.56,2.3,2.32,2.79,2.04,Average,"Maintain steady progress, focus on weak areas"
S00070,400,76.47,10,69.47,56.63,58.6,9,24.39,16.02,3.02,1.76,1.54,1.83,At Risk,Meet academic advisor and review study plan
S00071,400,78.32,11,58.11,49.57,83.04,5,26.15,13.11,4.0,2.16,2.33,2.25,Average,"Maintain steady progress, focus on weak areas"
S00072,100,100.0,8,76.27,76.73,69.1,2,20.0,7.55,2.81,2.4,2.41,2.53,Average,"Maintain steady progress, focus on weak areas"
S00073,100,95.19,5,78.78,71.72,100.0,4,23.01,18.31,2.59,2.83,2.71,3.06,Average,"Maintain steady progress, focus on weak areas"
S00074,400,93.61,10,74.21,86.71,74.67,4,12.63,18.78,2.67,2.75,2.96,2.68,Average,"Maintain steady progress, focus on weak areas"
S00075,300,78.77,7,96.18,85.13,83.24,8,0.0,15.38,3.16,2.88,3.2,2.75,Average,"Maintain steady progress, focus on weak areas"
S00076,300,100.0,18,66.92,81.2,80.4,3,23.01,11.85,2.7,2.56,2.7,2.88,Average,"Maintain steady progress, focus on weak areas"
S00077,400,95.99,7,50.45,81.02,59.74,1,12.03,9.17,3.31,2.57,2.67,2.57,Average,"Maintain steady progress, focus on weak areas"
S00078,100,100.0,15,95.11,65.5,65.82,5,17.56,0.75,2.69,2.15,1.99,2.18,Average,"Maintain steady progress, focus on weak areas"
S00079,200,100.0,7,41.66,80.68,80.12,4,11.01,0.92,2.64,2.49,2.47,2.55,Average,"Maintain steady progress, focus on weak areas"
S00080,100,70.21,11,64.02,67.67,76.62,6,4.5,18.2,3.72,2.12,2.59,2.18,Average,"Maintain steady progress, focus on weak areas"
S00081,400,73.9,12,56.19,81.98,43.89,2,1.41,6.68,2.21,1.82,1.84,1.79,At Risk,Meet academic advisor and review study plan
S00082,300,74.96,9,68.47,100.0,85.06,6,19.43,19.1,3.04,2.73,2.9,2.7,Average,"Maintain steady progress, focus on weak areas"
S00083,200,75.56,5,67.96,46.15,72.31,5,12.06,11.13,3.39,2.2,2.48,2.23,Average,"Maintain steady progress, focus on weak areas"
S00084,100,88.23,8,55.66,83.83,41.32,4,6.38,21.38,2.82,2.08,2.45,2.05,Average,"Maintain steady progress, focus on weak areas"
S00085,200,79.33,8,86.01,75.87,60.66,8,16.6,6.42,2.8,1.89,1.68,2.03,Average,"Maintain steady progress, focus on weak areas"
S00086,200,100.0,10,67.98,67.55,80.13,10,27.86,8.39,3.38,2.33,2.43,2.44,Average,"Maintain steady progress, focus on weak areas"
S00087,300,100.0,9,88.28,83.99,60.66,6,15.8,0.0,3.17,2.27,2.16,2.36,Average,"Maintain steady progress, focus on weak areas"
S00088,300,84.94,18,52.46,59.85,61.68,4,21.63,3.25,4.0,2.02,2.22,2.01,Average,"Maintain steady progress, focus on weak areas"
S00089,400,100.0,11,53.8,99.65,81.11,6,0.0,12.91,2.27,2.89,3.43,2.75,Average,"Maintain steady progress, focus on weak areas"
S00090,200,99.88,11,53.4,87.73,59.64,6,18.38,15.79,2.8,2.12,2.36,2.31,Average,"Maintain steady progress, focus on weak areas"
S00091,100,80.49,7,77.78,68.35,80.11,4,9.04,6.84,2.66,2.78,3.11,2.82,Average,"Maintain steady progress, focus on weak areas"
S00092,300,64.91,9,96.21,51.87,51.82,3,8.72,8.76,3.03,2.2,2.44,2.13,Average,"Maintain steady progress, focus on weak areas"
S00093,400,82.82,8,65.44,67.5,82.02,6,5.36,0.0,3.79,2.53,2.41,2.37,Average,"Maintain steady progress, focus on weak areas"
S00094,300,78.55,7,35.3,92.17,87.05,1,19.7,18.48,2.78,2.29,2.5,2.52,Average,"Maintain steady progress, focus on weak areas"
S00095,400,87.07,10,77.12,98.05,72.57,7,14.57,7.46,2.93,2.83,2.85,2.5,Average,"Maintain steady progress, focus on weak areas"
S00096,200,85.89,7,79.97,72.15,70.05,8,24.06,5.41,2.22,2.38,2.47,2.17,Average,"Maintain steady progress, focus on weak areas"
S00097,300,85.63,9,54.49,83.54,54.2,5,19.46,12.55,3.51,2.39,2.79,2.4,Average,"Maintain steady progress, focus on weak areas"
S00098,200,90.24,9,78.48,70.07,84.21,4,28.35,4.69,2.18,2.26,2.29,2.36,Average,"Maintain steady progress, focus on weak areas"
S00099,100,72.87,11,82.16,71.54,71.85,6,11.84,14.7,2.76,2.28,2.39,2.38,Average,"Maintain steady progress, focus on weak areas"
S00100,100,89.11,11,39.26,64.51,87.1,5,9.76,22.5,2.11,2.05,1.86,2.06,Average,"Maintain steady progress, focus on weak areas"
S00101,100,80.6,13,86.74,91.78,78.43,7,17.89,12.57,2.4,2.82,2.65,2.97,Average,"Maintain steady progress, focus on weak areas"
S00102,300,87.0,11,87.68,66.5,91.26,6,32.94,3.52,3.48,2.3,2.41,2.33,Average,"Maintain steady progress, focus on weak areas"
S00103,200,94.57,5,65.38,79.75,83.18,9,0.0,17.0,2.24,2.2,2.25,2.32,Average,"Maintain steady progress, focus on weak areas"
S00104,300,72.76,15,79.68,77.09,84.46,6,7.98,11.01,3.07,3.06,2.96,2.86,Average,"Maintain steady progress, focus on weak areas"
S00105,400,82.19,12,99.65,100.0,74.24,6,14.63,21.18,3.09,2.79,2.94,2.85,Average,"Maintain steady progress, focus on weak areas"
S00106,100,83.81,9,60.14,75.39,65.23,2,21.65,10.22,2.99,2.74,2.79,2.59,Average,"Maintain steady progress, focus on weak areas"
S00107,200,79.86,13,87.41,68.95,69.44,5,16.62,13.41,3.17,2.43,2.38,2.39,Average,"Maintain steady progress, focus on weak areas"
S00108,400,94.0,10,73.68,66.24,63.95,4,24.91,10.58,2.72,1.91,2.24,1.88,At Risk,Meet academic advisor and review study plan
S00109,100,77.8,9,52.9,85.97,78.05,5,15.69,14.89,2.9,1.85,2.41,1.93,At Risk,Meet academic advisor and review study plan
S00110,100,79.45,7,42.69,99.27,47.07,5,10.85,6.81,2.5,2.45,2.88,2.54,Average,"Maintain steady progress, focus on weak areas"
S00111,200,77.9,12,80.83,96.71,75.16,6,25.67,12.62,3.26,2.66,2.41,2.59,Average,"Maintain steady progress, focus on weak areas"
S00112,100,95.92,8,50.41,69.12,73.0,2,19.97,24.3,3.39,2.11,2.15,2.11,Average,"Maintain steady progress, focus on weak areas"
S00113,400,80.08,4,84.52,84.74,72.32,0,18.21,9.56,3.32,2.68,2.15,2.61,Average,"Maintain steady progress, focus on weak areas"
S00114,400,89.6,8,37.23,62.53,58.16,7,10.33,17.34,2.88,1.74,1.81,1.87,At Risk,Meet academic advisor and review study plan
S00115,300,100.0,12,72.24,74.72,50.66,6,23.83,10.8,3.05,2.55,2.82,2.45,Average,"Maintain steady progress, focus on weak areas"
S00116,400,84.25,13,65.19,58.53,58.62,2,0.49,0.0,3.06,2.61,2.92,2.56,Average,"Maintain steady progress, focus on weak areas"
S00117,400,96.12,18,95.15,75.54,69.13,7,8.93,17.62,2.7,2.53,2.85,2.47,Average,"Maintain steady progress, focus on weak areas"
S00118,100,100.0,7,73.39,62.86,68.67,3,5.0,18.65,2.81,1.8,2.06,2.22,Average,"Maintain steady progress, focus on weak areas"
S00119,400,95.27,16,79.19,74.19,67.28,7,0.0,20.48,2.87,2.18,2.28,1.89,At Risk,Meet academic advisor and review study plan
S00120,300,84.83,9,63.54,90.91,69.79,3,0.61,4.0,2.59,2.82,2.81,2.79,Average,"Maintain steady progress, focus on weak areas"
S00121,400,91.42,5,67.32,64.81,56.53,3,13.36,23.87,3.5,2.05,2.17,2.17,Average,"Maintain steady progress, focus on weak areas"
S00122,400,72.13,9,85.79,70.16,72.93,3,8.75,18.87,3.29,2.15,1.8,2.14,Average,"Maintain steady progress, focus on weak areas"
S00123,200,77.2,10,70.24,86.48,41.46,12,9.87,7.35,2.86,2.25,2.13,2.0,At Risk,Meet academic advisor and review study plan
S00124,100,78.95,12,56.22,70.46,87.5,8,21.87,13.57,3.0,2.24,2.22,2.59,Average,"Maintain steady progress, focus on weak areas"
S00125,100,100.0,5,87.11,60.56,65.02,3,4.13,2.54,2.79,2.12,2.31,1.96,At Risk,Meet academic advisor and review study plan
S00126,200,76.87,6,95.29,70.01,92.22,7,20.9,11.1,3.29,2.18,1.99,2.49,Average,"Maintain steady progress, focus on weak areas"
S00127,400,76.73,10,92.54,75.31,67.58,4,9.99,6.74,3.11,2.12,1.66,2.27,Average,"Maintain steady progress, focus on weak areas"
S00128,400,74.56,9,89.35,82.42,76.17,2,0.0,4.33,2.92,2.25,2.15,2.4,Average,"Maintain steady progress, focus on weak areas"
S00129,100,90.6,6,65.76,53.46,95.56,5,20.24,9.06,2.66,2.16,2.54,2.24,Average,"Maintain steady progress, focus on weak areas"
S00130,300,86.43,11,55.28,81.82,74.74,8,15.78,21.21,3.42,2.58,2.76,2.59,Average,"Maintain steady progress, focus on weak areas"
S00131,200,95.87,7,52.2,77.36,59.58,10,9.76,20.04,2.69,2.47,2.59,2.34,Average,"Maintain steady progress, focus on weak areas"
S00132,100,91.71,12,50.39,49.76,84.37,5,11.65,5.27,2.79,2.45,2.16,2.32,Average,"Maintain steady progress, focus on weak areas"
S00133,100,71.2,10,68.6,71.78,74.65,6,23.34,2.47,3.46,1.9,1.95,2.24,Average,"Maintain steady progress, focus on weak areas"
S00134,200,76.93,12,96.57,76.31,52.9,4,26.86,10.14,3.44,1.78,1.43,1.87,At Risk,Meet academic advisor and review study plan
S00135,400,98.65,9,45.19,64.56,49.08,3,13.19,11.35,3.14,2.11,2.52,2.43,Average,"Maintain steady progress, focus on weak areas"
S00136,200,82.97,13,70.25,62.37,58.67,9,5.08,1.38,4.0,1.85,1.67,1.86,At Risk,Meet academic advisor and review study plan
S00137,300,96.88,5,65.2,74.36,92.9,5,7.66,17.74,3.69,2.86,2.92,2.87,Average,"Maintain steady progress, focus on weak areas"
S00138,300,83.5,15,52.37,74.69,72.23,5,19.71,6.4,3.84,2.22,2.23,2.26,Average,"Maintain steady progress, focus on weak areas"
S00139,200,75.32,8,66.2,49.43,69.14,6,10.8,17.03,2.46,1.96,2.21,1.95,At Risk,Meet academic advisor and review study plan
S00140,400,81.97,7,89.35,66.65,88.47,8,29.87,0.0,2.34,2.58,3.08,2.64,Average,"Maintain steady progress, focus on weak areas"
S00141,400,75.32,12,73.41,65.24,97.31,3,8.85,6.81,3.53,2.51,2.65,2.27,Average,"Maintain steady progress, focus on weak areas"
S00142,200,79.34,10,79.41,58.91,70.76,8,21.27,14.84,2.28,2.65,3.18,2.39,Average,"Maintain steady progress, focus on weak areas"
S00143,200,87.01,14,86.03,85.28,80.21,7,9.42,7.79,2.25,2.71,2.89,2.46,Average,"Maintain steady progress, focus on weak areas"
S00144,200,90.12,6,75.8,86.31,80.45,6,26.01,4.32,3.26,2.55,2.42,2.66,Average,"Maintain steady progress, focus on weak areas"
S00145,200,69.1,9,64.48,57.53,87.0,3,16.71,15.52,3.17,2.55,2.35,2.3,Average,"Maintain steady progress, focus on weak areas"
S00146,100,84.83,9,71.51,72.85,68.6,2,4.5,6.0,3.34,2.3,2.36,2.45,Average,"Maintain steady progress, focus on weak areas"
S00147,300,79.13,11,53.9,80.19,88.43,5,15.94,2.61,3.12,2.59,2.47,2.51,Average,"Maintain steady progress, focus on weak areas"
S00148,300,78.52,13,70.86,86.89,45.74,10,15.65,16.78,2.26,2.08,2.09,2.08,Average,"Maintain steady progress, focus on weak areas"
S00149,100,86.33,5,71.83,85.47,75.63,7,12.67,18.69,3.08,2.65,2.71,2.74,Average,"Maintain steady progress, focus on weak areas"
S00150,200,79.5,6,89.76,70.73,56.37,0,30.32,12.19,3.79,2.8,2.95,2.49,Average,"Maintain steady progress, focus on weak areas"
S00151,400,98.82,13,65.14,76.05,61.98,4,33.26,9.24,3.73,2.32,2.14,2.5,Average,"Maintain steady progress, focus on weak areas"
S00152,100,96.88,10,65.14,88.12,92.48,4,16.82,0.05,3.53,2.65,2.56,2.6,Average,"Maintain steady progress, focus on weak areas"
S00153,100,96.82,9,47.27,70.04,64.6,6,19.85,9.56,3.25,1.98,2.19,1.9,At Risk,Meet academic advisor and review study plan
S00154,200,80.05,7,79.73,63.96,70.14,2,10.04,14.29,3.28,2.02,2.16,2.15,Average,"Maintain steady progress, focus on weak areas"
S00155,400,75.38,9,47.96,88.53,66.5,1,1.53,12.03,2.92,2.52,2.47,2.45,Average,"Maintain steady progress, focus on weak areas"
S00156,100,85.82,17,62.53,62.45,71.9,2,15.16,18.5,3.65,2.16,2.32,2.11,Average,"Maintain steady progress, focus on weak areas"
S00157,300,83.5,15,59.35,54.3,85.67,3,17.39,6.59,2.86,2.29,2.42,2.33,Average,"Maintain steady progress, focus on weak areas"
S00158,400,78.91,7,83.36,78.47,68.31,7,17.75,12.64,3.1,2.17,2.54,2.26,Average,"Maintain steady progress, focus on weak areas"
S00159,100,73.24,13,77.32,83.6,85.07,7,25.07,4.66,3.27,2.57,2.72,2.65,Average,"Maintain steady progress, focus on weak areas"
S00160,300,84.58,14,80.62,89.61,78.64,4,11.68,22.47,3.71,2.26,2.43,2.45,Average,"Maintain steady progress, focus on weak areas"
S00161,200,80.96,12,84.18,82.97,51.64,4,16.36,11.94,3.32,2.15,2.26,2.28,Average,"Maintain steady progress, focus on weak areas"
S00162,300,91.88,5,60.41,84.46,76.53,1,26.47,13.31,2.49,2.43,2.72,2.46,Average,"Maintain steady progress, focus on weak areas"
S00163,300,91.65,13,56.98,61.58,88.53,3,16.78,18.34,2.52,2.5,2.76,2.59,Average,"Maintain steady progress, focus on weak areas"
S00164,300,96.01,6,44.74,79.56,70.77,4,9.9,13.15,3.22,1.99,2.19,2.25,Average,"Maintain steady progress, focus on weak areas"
S00165,100,72.41,13,71.91,81.9,73.93,5,13.09,3.01,3.34,2.54,2.51,2.57,Average,"Maintain steady progress, focus on weak areas"
S00166,400,89.01,15,58.26,67.67,77.8,3,11.04,10.56,3.24,2.64,2.41,2.62,Average,"Maintain steady progress, focus on weak areas"
S00167,200,77.73,10,76.77,75.09,86.6,8,12.56,5.63,3.41,2.24,2.39,2.17,Average,"Maintain steady progress, focus on weak areas"
S00168,100,72.8,11,87.41,88.98,92.02,4,5.34,13.78,3.3,2.59,2.88,2.6,Average,"Maintain steady progress, focus on weak areas"
S00169,100,80.71,9,83.95,85.56,84.3,6,14.15,7.76,2.73,2.7,2.83,2.46,Average,"Maintain steady progress, focus on weak areas"
S00170,300,95.69,8,71.81,89.42,72.45,5,14.58,3.91,2.91,2.59,2.92,2.39,Average,"Maintain steady progress, focus on weak areas"
S00171,300,81.28,8,71.17,68.74,81.45,7,22.53,9.28,3.1,2.45,2.51,2.4,Average,"Maintain steady progress, focus on weak areas"
S00172,100,100.0,6,69.86,93.35,84.13,5,12.26,14.72,2.26,3.28,3.4,3.25,Excellent,Keep up the consistency and mentor peers
S00173,300,90.49,8,100.0,68.49,55.01,1,17.62,16.84,3.49,2.33,2.42,2.3,Average,"Maintain steady progress, focus on weak areas"
S00174,100,81.06,11,61.26,57.49,34.69,5,9.35,4.48,1.49,1.92,2.37,2.01,Average,"Maintain steady progress, focus on weak areas"
S00175,300,96.6,13,71.19,73.54,44.16,6,12.56,15.8,2.54,2.03,1.83,1.92,At Risk,Meet academic advisor and review study plan
S00176,100,89.45,11,67.29,73.83,66.81,4,13.05,11.17,3.43,2.13,2.07,2.1,Average,"Maintain steady progress, focus on weak areas"
S00177,300,75.67,5,58.25,64.8,73.71,1,19.93,17.36,2.89,2.4,2.34,2.11,Average,"Maintain steady progress, focus on weak areas"
S00178,200,100.0,8,64.3,79.66,54.6,4,0.72,14.66,3.76,2.41,2.63,2.53,Average,"Maintain steady progress, focus on weak areas"
S00179,400,87.59,9,70.42,100.0,75.52,1,2.62,5.96,2.59,2.21,2.38,2.41,Average,"Maintain steady progress, focus on weak areas"
S00180,100,85.19,7,52.23,81.02,71.93,7,28.4,14.29,3.44,2.76,3.06,2.64,Average,"Maintain steady progress, focus on weak areas"
S00181,200,76.44,8,94.73,85.34,61.86,8,22.65,11.31,3.11,2.08,1.93,2.17,Average,"Maintain steady progress, focus on weak areas"
S00182,100,96.8,9,80.89,83.85,80.62,6,9.11,7.84,3.42,2.91,3.06,2.86,Average,"Maintain steady progress, focus on weak areas"
S00183,400,90.17,5,86.38,67.84,49.06,7,22.51,7.32,3.04,1.91,2.39,2.23,Average,"Maintain steady progress, focus on weak areas"
S00184,400,91.29,3,67.58,62.46,72.27,3,11.76,0.0,4.0,2.59,2.9,2.4,Average,"Maintain steady progress, focus on weak areas"
S00185,200,79.92,12,65.3,73.23,93.36,9,31.37,2.96,2.85,2.5,2.58,2.42,Average,"Maintain steady progress, focus on weak areas"
S00186,300,93.34,12,66.79,75.15,67.0,5,0.8,11.59,3.25,2.77,2.45,2.51,Average,"Maintain steady progress, focus on weak areas"
S00187,400,94.12,3,59.55,90.6,81.54,1,0.0,9.77,3.3,2.67,2.86,2.74,Average,"Maintain steady progress, focus on weak areas"
S00188,300,78.31,11,89.5,65.93,81.05,7,14.1,20.96,3.15,2.41,2.75,2.53,Average,"Maintain steady progress, focus on weak areas"
S00189,300,70.83,10,90.95,75.36,64.6,5,28.79,13.14,3.35,2.48,2.78,2.44,Average,"Maintain steady progress, focus on weak areas"
S00190,100,90.81,5,78.25,74.98,49.44,1,21.99,15.99,2.76,2.22,2.19,2.33,Average,"Maintain steady progress, focus on weak areas"
S00191,100,69.27,10,95.47,71.53,60.91,5,21.24,8.3,3.24,1.76,1.55,1.96,At Risk,Meet academic advisor and review study plan
S00192,400,86.52,10,100.0,81.53,74.68,2,23.92,11.5,3.54,2.76,2.99,2.57,Average,"Maintain steady progress, focus on weak areas"
